Country,2014,2015,2016,2017,2018,2019,2020
Canada,268485,281306,317239,335439,351040,351859,122868
U.S.A,1118983,1213624,1296939,1376919,1456678,1512032,394092
Argentina,9731,9351,12308,14875,16345,12844,4294
Brazil,19563,20610,21289,24453,26579,25422,8092
Mexico,13978,14049,15689,18114,19909,20766,4580
Austria,34360,33670,33089,31832,33200,32332,9182
Belgium,37441,36684,37960,41902,44086,39263,11022
Denmark,26775,24073,24717,26761,28195,26492,8252
Finland,18765,18129,18371,20384,21239,18945,4310
France,246101,230854,238707,249620,261653,247238,74243
Germany,239106,248314,265928,269380,274087,264973,72558
Greece,8300,8087,9048,10286,10656,10317,2854
Ireland,28978,32973,36440,37993,39276,41183,9708
Italy,91589,88091,95417,111915,126931,128572,31186
Netherlands,67747,66181,71840,76652,81615,80313,26258
Norway,19690,19757,20148,20882,22631,21898,6224
Portugal,36156,44616,54439,66378,74492,74743,31005
Spain,66463,65694,76342,81442,84356,83322,16335
Sweden,44948,42626,43689,45851,46743,42318,11992
Switzerland,45773,46151,48123,49607,49322,46826,12675
U.K.,838860,867601,941883,986296,1029757,1000292,291874
Czech Rep.,9878,11441,12932,11852,13413,13290,3607
Hungary,6867,7036,7961,9241,9201,9788,2964
Kazakhstan,16736,14506,12979,15421,13314,15709,5918
Poland,25205,26499,25706,28674,31555,33687,12161
Russian Fed,269832,172419,227749,278904,262309,251319,102166
Ukraine,29281,23098,26753,25988,26260,29468,10619
Egypt,16715,19168,20864,20528,20486,21538,4886
Kenya,46158,46139,44783,46011,48845,48639,12779
Mauritius,27945,32533,34280,37706,42096,46814,11410
Nigeria,28314,24292,17964,12651,12067,14033,3819
South Africa,56246,51922,52636,57060,58613,57274,12561
Sudan,11896,13704,17093,22762,34712,34003,9114
Tanzania,26284,25488,23026,22261,23443,23774,6501
Bahrain,13136,14013,17382,16764,13915,15128,3429
Iraq,48321,42660,48227,56230,68462,61907,17823
Israel,49321,50134,59231,58131,67366,73137,17444
Oman,88512,103740,105705,107217,95160,74564,15430
Saudi Arabia,55487,63835,61605,52976,47546,48526,10423
Turkey,24294,25670,29545,33251,33825,35113,10853
U.A.E.,59332,55818,67165,67238,59971,55413,7387
Yemen Arab Rep.,34207,20901,19383,21695,21674,26065,5882
Afghanistan,115569,114406,123330,149176,153905,124120,47561
Bangladesh,942562,1133879,1380409,2156557,2256675,2577727,549273
Bhutan,16001,19084,20940,25267,26470,28178,7901
Iran,31222,30774,39184,42641,35596,33288,7090
Maldives,65052,68907,67457,66150,62337,78587,14536
Nepal,126416,154720,161097,164018,174096,164040,40822
Pakistan,96434,124924,104720,44266,41659,39018,14232
Sri Lanka,301601,299513,297418,303590,353684,330861,68646
Indonesia,32215,34933,35084,43973,46867,50177,11795
Malaysia,262026,272941,301961,322126,319172,334579,69897
Myanmar,54631,55341,51376,56952,75773,86842,35291
Philippines,43240,47912,52692,53963,53473,56393,16052
Singapore,150731,152238,163688,175852,183581,190089,33747
Thailand,121362,115860,119663,140087,166293,169956,52626
Vietnam,15132,15341,16728,23771,31427,33636,8828
China,181020,206322,251313,247235,281768,339442,39586
Japan,219516,207415,208847,222527,236236,238903,48191
Rep. of Korea,106870,102993,111076,142383,150536,149445,32302
Taiwan,35857,36349,42327,47043,49457,48195,8969
Australia,239762,263201,293625,324243,346486,367241,86758
New Zealand,42864,45171,50917,56597,60664,65551,16653
